ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count,product_type,backorders,featured,length,manage_stock,price,product_url,purchase_note,regular_price,sale_price,shipping_class,sku,sold_individually,stock,stock_status,tax_class,tax_status,total_sales,virtual,visibility,weight,height,width,default_attributes,button_text,crosssell_ids,downloadable,edit_last,edit_lock,max_price_variation_id,max_regular_price_variation_id,max_sale_price_variation_id,max_variation_price,max_variation_regular_price,max_variation_sale_price,min_price_variation_id,min_regular_price_variation_id,min_sale_price_variation_id,min_variation_price,min_variation_regular_price,min_variation_sale_price,product_attributes,product_image_gallery,product_version,sale_price_dates_from,sale_price_dates_to,thumbnail_id,upsell_ids,vc_post_settings,wc_average_rating,wc_rating_count,wc_review_count,yoast_wpseo_content_score,yoast_wpseo_primary_product_cat,recommend_product,slide_template,attributes,variations,categories,tags,product_gallery,product_gallery_name,featured_image,featured_image_name
25,1,"2016-07-06 18:57:58","2016-07-06 18:57:58",,,"<p><br data-mce-bogus=""1""></p>",draft,open,closed,,,,,"2016-07-08 16:48:24","2016-07-08 16:48:24",,0,http://localhost/sarthak/?post_type=product&#038;p=25,0,product,,0,simple,no,no,,no,,,,,,,,,,instock,,taxable,,,visible,,,,,,,,1,1468001091:1,,,,,,,,,,,,,,,,,,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",0,a:0:{},0,,,,,,,"Back Cover|Case Cover|Screen Gaurd|Temperd Glass",,,,,
1034,1,"2015-08-13 06:46:07","2015-08-13 06:46:07","Eiusmod enim ut, meatloaf picanha swine aliquip fugiat short loin porchetta sausage. Et pariatur meatloaf velit, prosciutto irure beef ribs beef ea voluptate pork dolor dolore do duis. Filet mignon velit cupim porchetta ground round leberkas meatball cow anim ball tip officia ipsum dolore aute. Veniam drumstick anim dolor, in bacon cow irure magna consequat adipisicing officia hamburger commodo est.

T-bone ground round fugiat tri-tip tenderloin, lorem flank boudin shank sunt alcatra bresaola aute. Aute officia ham, ut kevin adipisicing in jowl laborum commodo incididunt ad prosciutto. Sed quis picanha cupidatat, officia ut shank leberkas beef. Chuck excepteur doner mollit. Tongue excepteur anim, dolor ut eiusmod biltong reprehenderit aliqua magna alcatra.

Deserunt porchetta beef filet mignon. Capicola strip steak tri-tip, dolore biltong magna velit short loin proident beef brisket filet mignon shank. Ipsum laborum in, mollit jowl qui tenderloin pariatur adipisicing rump prosciutto fugiat biltong ball tip. Brisket elit drumstick mollit jerky et nulla proident dolor laboris incididunt officia non. T-bone beef ribs labore, deserunt dolor frankfurter eiusmod consectetur minim. Tenderloin ham incididunt sausage pork chop, fugiat tempor veniam aliqua velit.

Chicken veniam boudin mollit turducken beef ribs shank pariatur corned beef. Consectetur fugiat consequat porchetta short ribs, aliqua rump kielbasa. Jerky voluptate salami, cillum labore eu velit. Sausage in consequat ball tip occaecat est sint. Deserunt bresaola veniam tri-tip, dolore officia mollit prosciutto ut sed.","Capicola strip","T-bone ground round fugiat tri-tip tenderloin.",publish,open,closed,,product-1,,,"2016-07-08 16:49:46","2016-07-08 16:49:46",,0,http://wp.smartaddons.com/themes/sw_atom/?post_type=product&#038;p=1034,0,product,,0,simple,no,yes,,no,80,,,80,,,f-111,,,instock,,,0,no,visible,,,,,,a:0:{},no,1,,,,,,,,,,,,,,a:0:{},"1036,1039,1038,1037,1035",,,,1035,a:0:{},"a:1:{s:10:""vc_grid_id"";a:0:{}}",0,a:0:{},0,,,,default,,,"Back Cover|Case Cover|Screen Gaurd|Temperd Glass",,||||,||||,,
1040,1,"2015-08-13 07:04:37","2015-08-13 07:04:37","Nulla aliqua bresaola kielbasa porchetta veniam, ea ex fugiat. Proident velit ea quis culpa fatback dolore consequat bresaola pork nisi shoulder. Pastrami consectetur sunt, eu kevin jerky quis salami laboris. Beef turkey pancetta biltong, picanha short loin kielbasa venison. Quis ball tip velit esse.

Dolore deserunt frankfurter id short ribs cupim eu. Est laborum commodo officia, filet mignon short ribs dolore boudin eiusmod do frankfurter. Nostrud picanha beef ribs proident pariatur. Labore leberkas laboris nostrud t-bone hamburger ea salami boudin esse ut swine dolore. Officia short loin nisi ipsum pastrami aliquip. Tail irure quis bresaola. Do turducken ground round leberkas sed in tongue.

Ipsum leberkas drumstick irure pork chop landjaeger. Labore ball tip pancetta, do ut swine short ribs pig rump ham hock tail kevin. Flank boudin quis pancetta meatloaf, id shoulder kevin ut pariatur exercitation short loin occaecat. Et bacon t-bone ham hock sausage pariatur chicken pancetta kielbasa excepteur pork loin tri-tip beef ribs rump. Pariatur turkey duis, pork belly andouille biltong rump pastrami cupim pork chop flank irure. Landjaeger shankle nisi ea ham hock, duis veniam bacon cillum commodo ribeye t-bone meatloaf.

Prosciutto cow nostrud andouille sint reprehenderit ut pariatur biltong chicken picanha meatloaf. Pig kielbasa andouille tail, cow porchetta cillum veniam pork mollit pariatur aliqua. Est sed reprehenderit cow short loin frankfurter. Ball tip salami ham hock, laboris aliqua quis shoulder frankfurter prosciutto. Ullamco frankfurter pork loin, ad eiusmod elit sunt flank short ribs chicken. Turkey irure filet mignon short loin laboris flank.

Anim in short loin ipsum officia, bacon ad laborum ut pariatur. Reprehenderit ad bacon, pancetta officia aute shank. Ut porchetta meatball sint sirloin. Beef short ribs short loin nulla deserunt. Laboris aliqua lorem sirloin sausage reprehenderit consectetur nisi jerky.","Chicken veniam","Ipsum leberkas drumstick irure pork chop landjaeger.",publish,open,closed,,chicken-veniam,,,"2016-07-08 16:49:44","2016-07-08 16:49:44",,0,http://wp.smartaddons.com/themes/sw_atom/?post_type=product&#038;p=1040,0,product,,0,simple,no,yes,,no,70,,,75,70,,f-112,,,instock,,,0,no,visible,,,,,,a:0:{},no,1,,,,,,,,,,,,,,a:0:{},"1038,1037,1036,1035,1039",,,,1039,a:0:{},"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,,default,,,"Back Cover|Case Cover|Screen Gaurd|Temperd Glass",,||||,||||,,
1041,1,"2015-08-13 07:12:08","2015-08-13 07:12:08","Aliquip ham hock lorem leberkas quis et tongue labore do. Ham hock excepteur ex id esse tempor sed incididunt et commodo pariatur. In picanha turkey incididunt cillum, sunt consectetur eu biltong ad duis pork chop. Esse pariatur pork chop sed cow biltong non in. Pork loin voluptate shank ex nisi eiusmod prosciutto est bresaola nulla turducken lorem ham hock.

Prosciutto sausage boudin, bresaola laborum veniam et do fatback pastrami nostrud cupim pig. Kielbasa salami pork belly landjaeger chicken. Enim rump ham hock, pork belly filet mignon et adipisicing. Aute turkey eiusmod, ex est capicola short loin salami tongue cupim. Bresaola aliqua veniam, andouille cupidatat irure beef ribs dolor ex pariatur turkey beef pastrami commodo ball tip.

Nostrud brisket adipisicing incididunt, chicken fugiat beef leberkas boudin lorem bacon drumstick aliqua. Culpa biltong meatball cupidatat laboris porchetta velit rump salami filet mignon hamburger turkey. Consequat ea reprehenderit sirloin, et ball tip tongue commodo ground round. Cow pastrami eu short ribs. Tail duis eu, consectetur meatloaf ham hock ipsum aliqua excepteur.

Aute et exercitation, officia strip steak shankle frankfurter pig alcatra aliquip turducken in andouille laboris. Picanha qui chuck landjaeger pastrami kevin. Kevin hamburger cow eu. Turducken enim short loin, doner occaecat in labore veniam eiusmod anim ut chuck ribeye. Rump velit sunt cillum incididunt, sausage ball tip alcatra frankfurter quis nulla.

Velit kielbasa sint, kevin exercitation pig veniam porchetta shank bacon laborum pastrami filet mignon enim swine. Frankfurter ham hock aliqua eiusmod biltong sausage. Cupim t-bone ut enim nostrud hamburger shankle. Non pork chop tail eu. Pig sirloin ground round, salami cupim ea dolore occaecat commodo. Officia ut ham hock, aliqua andouille frankfurter boudin. Nisi ground round ex tenderloin.","Velit kielb","Nostrud brisket adipisicing incididunt, chicken fugiat beef leberkas boudin lorem bacon drumstick aliqua. Culpa biltong meatball filet mignon turkey.",publish,open,closed,,velit-kielb,,,"2016-07-08 16:49:04","2016-07-08 16:49:04",,0,http://wp.smartaddons.com/themes/sw_atom/?post_type=product&#038;p=1041,0,product,,0,simple,no,no,,no,40,,,56,40,,f-113,,,instock,,taxable,0,no,visible,,,,,,a:0:{},no,1,1467996472:1,,,,,,,,,,,,,a:0:{},"1039,1038,1037,1036,1035",,1439424000,1471046400,1036,a:0:{},"a:1:{s:10:""vc_grid_id"";a:0:{}}",0,a:0:{},0,,,,,,,"Back Cover|Case Cover|Screen Gaurd|Temperd Glass",,||||,||||,,
1042,1,"2015-08-13 07:15:14","2015-08-13 07:15:14","Beef leberkas laboris, rump cillum velit veniam filet mignon. Irure chicken shank nulla. Meatloaf cillum et, exercitation andouille minim rump. Jerky porchetta consequat labore, aliqua in cow quis chicken voluptate tongue do shank. Excepteur short ribs fatback ground round voluptate, proident adipisicing pork. T-bone dolore doner est ex pancetta ribeye venison cillum sausage shoulder dolor ad. Id elit drumstick ribeye turkey.

Aute ullamco pork, chuck cupim aliquip hamburger picanha short loin reprehenderit enim cow porchetta dolore. Commodo rump short loin, biltong landjaeger ut sunt alcatra officia qui frankfurter. Rump nostrud cupim incididunt, ea leberkas dolore pork loin kielbasa fatback minim frankfurter exercitation consequat deserunt. Frankfurter incididunt culpa reprehenderit jowl fatback.

Culpa dolore ea picanha ut prosciutto, quis pancetta occaecat excepteur ribeye magna kielbasa. Ut aute officia aliqua, lorem pork chop pariatur dolore short loin kielbasa venison. Ea dolore andouille, pig meatball ut occaecat leberkas reprehenderit mollit pariatur elit ball tip voluptate. Pork belly veniam kevin ball tip, aliqua frankfurter shoulder fugiat.

Adipisicing ut occaecat chicken, sunt dolor deserunt nulla. Short ribs irure ut ham pork loin, deserunt duis. Consectetur chicken in irure exercitation doner ut filet mignon. Reprehenderit short ribs fugiat, ex rump ground round andouille beef ribs spare ribs landjaeger sausage ipsum voluptate.
Does your lorem ipsum text long for something a little meatier? Give our generator a try… it’s tasty!","Rump jowl","Beef leberkas laboris, rump cillum velit veniam filet mignon. Irure chicken shank nulla. Meatloaf cillum et, exercitation andouille minim rump.",publish,open,closed,,rump-jowl,,,"2016-07-08 16:49:02","2016-07-08 16:49:02",,0,http://wp.smartaddons.com/themes/sw_atom/?post_type=product&#038;p=1042,0,product,,0,simple,no,yes,,no,60,,,69,60,,f-114,,,instock,,taxable,2,no,visible,,,,,,a:0:{},no,1,,,,,,,,,,,,,,a:0:{},"1035,1039,1038,1037,1036",,1439424000,1471046400,1038,a:0:{},"a:1:{s:10:""vc_grid_id"";a:0:{}}",5.00,"a:1:{i:5;s:1:""1"";}",1,,,,default,,,"Back Cover|Case Cover|Screen Gaurd|Temperd Glass",,||||,||||,,
1043,1,"2015-08-13 07:17:00","2015-08-13 07:17:00","In laoreet augue vel volutpat elementum. Quisque ac velit eu nunc auctor tempor quis ac nisi. Mauris luctus sem velit, sed vulputate lacus eleifend sit amet. Morbi mollis lorem vitae magna semper pretium. Nam volutpat luctus pellentesque. Cras quis mollis lacus. Sed et sem diam. Nulla in diam id quam bibendum consectetur quis at augue. Sed lobortis libero ac magna consectetur placera
<ul style=""margin-left: 20px; margin-bottom: 20px;"">
	<li>Praesent metus elit, placerat ut massa quis, facilisis facilisis est</li>
	<li>Cras id odio ultrices nisi dictum maximus</li>
	<li>Praesent rhoncus rhoncus magna non condimentum</li>
	<li>Donec ex lectus, congue vel augue in, ornare aliquam est.</li>
</ul>
Cras suscipit libero urna, sed pretium quam scelerisque at. Integer leo metus, elementum pharetra dolor quis, eleifend interdum metus. Pellentesque vehicula, dolor nec hendrerit molestie, lacus velit tincidunt massa, sit amet mollis augue felis et nisl. Praesent metus elit, placerat ut massa quis, facilisis facilisis est. Morbi vel velit nec est bibendum malesuada id non nulla.

[quotes style=""border""]""Aliquam sem sem, ultricies ut facilisis vel, varius eget lorem. Suspendisse sollicitudin nisi luctus lorem accumsan consequat. Nullam tempus odio ac mauris rhoncus, eu hendrerit justo fermentum. Sed eget commodo""[/quotes]

In laoreet augue vel volutpat elementum. Quisque ac velit eu nunc auctor tempor quis ac nisi. Mauris luctus sem velit, sed vulputate lacus eleifend sit amet. Morbi mollis lorem vitae magna semper pretium. Nam volutpat luctus pellentesque. Cras quis mollis lacus. Sed et sem diam. Nulla in diam id quam bibendum consectetur quis at augue. Sed lobortis libero ac magna consectetur placera","Ipsum eu","Dolor consectetur in cupim alcatra adipisicing.",publish,open,closed,,ipsum-eu,,,"2016-07-08 16:49:00","2016-07-08 16:49:00",,0,http://wp.smartaddons.com/themes/sw_atom/?post_type=product&#038;p=1043,0,product,,0,simple,no,yes,,no,100,,,110,100,,f-115,,,instock,,taxable,2,no,visible,,,,,,a:0:{},no,1,,,,,,,,,,,,,,a:0:{},"1039,1038,1037,1036,1035,286",,1439424000,1471046400,1037,a:0:{},"a:1:{s:10:""vc_grid_id"";a:0:{}}",5.00,"a:1:{i:5;s:1:""1"";}",1,,,,default,,,"Back Cover|Case Cover|Screen Gaurd|Temperd Glass",,|||||,|||||,,
1044,1,"2015-08-13 07:21:43","2015-08-13 07:21:43","In laoreet augue vel volutpat elementum. Quisque ac velit eu nunc auctor tempor quis ac nisi. Mauris luctus sem velit, sed vulputate lacus eleifend sit amet. Morbi mollis lorem vitae magna semper pretium. Nam volutpat luctus pellentesque. Cras quis mollis lacus. Sed et sem diam. Nulla in diam id quam bibendum consectetur quis at augue. Sed lobortis libero ac magna consectetur placera
<ul style=""margin-left: 20px; margin-bottom: 20px;"">
	<li>Praesent metus elit, placerat ut massa quis, facilisis facilisis est</li>
	<li>Cras id odio ultrices nisi dictum maximus</li>
	<li>Praesent rhoncus rhoncus magna non condimentum</li>
	<li>Donec ex lectus, congue vel augue in, ornare aliquam est.</li>
</ul>
Cras suscipit libero urna, sed pretium quam scelerisque at. Integer leo metus, elementum pharetra dolor quis, eleifend interdum metus. Pellentesque vehicula, dolor nec hendrerit molestie, lacus velit tincidunt massa, sit amet mollis augue felis et nisl. Praesent metus elit, placerat ut massa quis, facilisis facilisis est. Morbi vel velit nec est bibendum malesuada id non nulla.

[quotes style=""border""]""Aliquam sem sem, ultricies ut facilisis vel, varius eget lorem. Suspendisse sollicitudin nisi luctus lorem accumsan consequat. Nullam tempus odio ac mauris rhoncus, eu hendrerit justo fermentum. Sed eget commodo""[/quotes]

In laoreet augue vel volutpat elementum. Quisque ac velit eu nunc auctor tempor quis ac nisi. Mauris luctus sem velit, sed vulputate lacus eleifend sit amet. Morbi mollis lorem vitae magna semper pretium. Nam volutpat luctus pellentesque. Cras quis mollis lacus. Sed et sem diam. Nulla in diam id quam bibendum consectetur quis at augue. Sed lobortis libero ac magna consectetur placera","Swine ham","In lorem adipisicing, consequat ribeye fatback shank. Ut anim aliquip alcatra meatloaf ea. Officia voluptate excepteur, biltong magna tempor ullamco pariatur.",publish,open,closed,,swine-ham,,,"2016-07-08 16:48:58","2016-07-08 16:48:58",,0,http://wp.smartaddons.com/themes/sw_atom/?post_type=product&#038;p=1044,0,product,,0,simple,no,yes,,no,50,,,70,50,,f-116,,,instock,,taxable,4,no,visible,,,,,,a:0:{},no,1,,,,,,,,,,,,,,a:0:{},"1037,1036,1035,1039,1038,286",,1439424000,1471046400,1035,a:5:{i:0;i:1045;i:1;i:1043;i:2;i:1042;i:3;i:1046;i:4;i:1041;},"a:1:{s:10:""vc_grid_id"";a:0:{}}",5.00,"a:1:{i:5;s:1:""1"";}",1,,,yes,default,,,"Back Cover|Case Cover|Screen Gaurd|Temperd Glass",,|||||,|||||,,
1045,1,"2015-08-13 07:26:06","2015-08-13 07:26:06","In laoreet augue vel volutpat elementum. Quisque ac velit eu nunc auctor tempor quis ac nisi. Mauris luctus sem velit, sed vulputate lacus eleifend sit amet. Morbi mollis lorem vitae magna semper pretium. Nam volutpat luctus pellentesque. Cras quis mollis lacus. Sed et sem diam. Nulla in diam id quam bibendum consectetur quis at augue. Sed lobortis libero ac magna consectetur placera
<ul style=""margin-left: 20px; margin-bottom: 20px;"">
	<li>Praesent metus elit, placerat ut massa quis, facilisis facilisis est</li>
	<li>Cras id odio ultrices nisi dictum maximus</li>
	<li>Praesent rhoncus rhoncus magna non condimentum</li>
	<li>Donec ex lectus, congue vel augue in, ornare aliquam est.</li>
</ul>
Cras suscipit libero urna, sed pretium quam scelerisque at. Integer leo metus, elementum pharetra dolor quis, eleifend interdum metus. Pellentesque vehicula, dolor nec hendrerit molestie, lacus velit tincidunt massa, sit amet mollis augue felis et nisl. Praesent metus elit, placerat ut massa quis, facilisis facilisis est. Morbi vel velit nec est bibendum malesuada id non nulla.

[quotes style=""border""]""Aliquam sem sem, ultricies ut facilisis vel, varius eget lorem. Suspendisse sollicitudin nisi luctus lorem accumsan consequat. Nullam tempus odio ac mauris rhoncus, eu hendrerit justo fermentum. Sed eget commodo""[/quotes]

In laoreet augue vel volutpat elementum. Quisque ac velit eu nunc auctor tempor quis ac nisi. Mauris luctus sem velit, sed vulputate lacus eleifend sit amet. Morbi mollis lorem vitae magna semper pretium. Nam volutpat luctus pellentesque. Cras quis mollis lacus. Sed et sem diam. Nulla in diam id quam bibendum consectetur quis at augue. Sed lobortis libero ac magna consectetur placera","Venison meat","Venison meatloaf swine excepteur nostrud sirloin id velit ground round short loin porchetta t-bone. Sed meatball rump, irure velit nulla occaecat tri-tip in.",publish,open,closed,,venison-meat,,,"2016-07-08 16:48:55","2016-07-08 16:48:55",,0,http://wp.smartaddons.com/themes/sw_atom/?post_type=product&#038;p=1045,0,product,,0,simple,no,yes,,no,80,,,99,80,,f-117,,,instock,,taxable,6,no,visible,,,,,,a:0:{},no,1,,,,,,,,,,,,,,a:0:{},"1038,1037,1036,1035,1039,286",,1439424000,1471046400,1039,a:5:{i:0;i:1043;i:1;i:1045;i:2;i:1044;i:3;i:1046;i:4;i:1040;},"a:1:{s:10:""vc_grid_id"";a:0:{}}",5.00,"a:1:{i:5;s:1:""1"";}",1,,,,default,,,"Back Cover|Case Cover|Screen Gaurd|Temperd Glass",sales|shop|sport|wordpress,|||||,|||||,,
1046,1,"2015-08-13 07:33:19","2015-08-13 07:33:19","In laoreet augue vel volutpat elementum. Quisque ac velit eu nunc auctor tempor quis ac nisi. Mauris luctus sem velit, sed vulputate lacus eleifend sit amet. Morbi mollis lorem vitae magna semper pretium. Nam volutpat luctus pellentesque. Cras quis mollis lacus. Sed et sem diam. Nulla in diam id quam bibendum consectetur quis at augue. Sed lobortis libero ac magna consectetur placera
<ul style=""margin-left: 20px; margin-bottom: 20px;"">
	<li>Praesent metus elit, placerat ut massa quis, facilisis facilisis est</li>
	<li>Cras id odio ultrices nisi dictum maximus</li>
	<li>Praesent rhoncus rhoncus magna non condimentum</li>
	<li>Donec ex lectus, congue vel augue in, ornare aliquam est.</li>
</ul>
Cras suscipit libero urna, sed pretium quam scelerisque at. Integer leo metus, elementum pharetra dolor quis, eleifend interdum metus. Pellentesque vehicula, dolor nec hendrerit molestie, lacus velit tincidunt massa, sit amet mollis augue felis et nisl. Praesent metus elit, placerat ut massa quis, facilisis facilisis est. Morbi vel velit nec est bibendum malesuada id non nulla.

[quotes style=""border""]""Aliquam sem sem, ultricies ut facilisis vel, varius eget lorem. Suspendisse sollicitudin nisi luctus lorem accumsan consequat. Nullam tempus odio ac mauris rhoncus, eu hendrerit justo fermentum. Sed eget commodo""[/quotes]

In laoreet augue vel volutpat elementum. Quisque ac velit eu nunc auctor tempor quis ac nisi. Mauris luctus sem velit, sed vulputate lacus eleifend sit amet. Morbi mollis lorem vitae magna semper pretium. Nam volutpat luctus pellentesque. Cras quis mollis lacus. Sed et sem diam. Nulla in diam id quam bibendum consectetur quis at augue. Sed lobortis libero ac magna consectetur placera","Culpa minim","Spare ribs deserunt cupim reprehenderit ut.",publish,open,closed,,culpa-minim,,,"2016-07-08 16:48:53","2016-07-08 16:48:53",,0,http://wp.smartaddons.com/themes/sw_atom/?post_type=product&#038;p=1046,0,product,,0,simple,no,yes,,no,50,,,66,50,,f-118,,,instock,,taxable,0,no,visible,,,,,,a:0:{},no,1,1467920032:1,,,,,,,,,,,,,a:0:{},,2.6.2,1439424000,1471046400,1518,a:0:{},"a:1:{s:10:""vc_grid_id"";a:0:{}}",5.00,"a:1:{i:5;s:1:""1"";}",1,30,,yes,default,,,"Back Cover|Case Cover|Screen Gaurd|Temperd Glass",,,,http://localhost/sarthak/wp-content/uploads/revslider/slider-3/slide-index33.jpg,slide-index33.jpg
1047,1,"2015-08-13 07:53:23","2015-08-13 07:53:23","Pastrami tenderloin nostrud bresaola, pig dolore pariatur nisi tail pancetta proident velit swine do ipsum. Kevin pancetta corned beef sirloin shank, spare ribs elit. Rump elit tail pariatur jowl pancetta cupidatat ipsum sint pork belly. Strip steak landjaeger eiusmod excepteur aliquip ipsum pastrami t-bone pariatur veniam nulla pancetta. Fugiat adipisicing tri-tip officia frankfurter doner.

Corned beef pork chop anim aliquip labore exercitation nulla incididunt biltong. Minim ground round elit kielbasa sint short loin strip steak ex pancetta voluptate cupim do aliquip. Ut minim turducken est shankle sed pork loin qui cillum tongue magna beef ribs elit cupidatat. Non pork sirloin qui. Turducken cupim pastrami ut tenderloin excepteur pork belly nisi flank velit elit occaecat eiusmod pancetta pork loin.

Reprehenderit turducken ham aute commodo beef jerky sed in. Irure sed pork loin eiusmod shoulder consequat ex picanha veniam bacon do aute. Dolore laborum occaecat dolore pork belly fugiat anim. Tri-tip velit spare ribs est. Cupim sirloin flank eu. Et eu nisi, ham sausage chicken in minim.

Veniam flank culpa, bacon anim lorem jerky. Beef ribs ex qui, reprehenderit commodo shoulder excepteur shankle nisi porchetta consectetur ea tempor flank spare ribs. Pork chop enim ex incididunt, jerky bacon tenderloin andouille. Prosciutto ham hock tri-tip salami, deserunt et brisket cupidatat biltong shankle.

Swine picanha mollit dolore laborum ut shoulder ad. Andouille pig in veniam mollit. Quis sausage et, tri-tip sirloin ex est chicken. Enim flank tempor cupim do ipsum","Bacon anim","Corned beef pork chop anim aliquipbiltong.",publish,open,closed,,bacon-anim,,,"2016-07-08 16:48:50","2016-07-08 16:48:50",,0,http://wp.smartaddons.com/themes/sw_atom/?post_type=product&#038;p=1047,0,product,,0,simple,no,no,,no,78,,,78,,,m112,,,instock,,taxable,0,no,visible,,,,,,a:0:{},no,1,,,,,,,,,,,,,,a:0:{},"1052,1051,1050,1049,1053",2.4.7,,,1051,a:0:{},"a:1:{s:10:""vc_grid_id"";a:0:{}}",5.00,"a:1:{i:5;s:1:""1"";}",1,,,,default,,,"Back Cover|Case Cover|Screen Gaurd|Temperd Glass",,||||,||||,,
